Date,SOLVPN,COPPER,DXY,UST10Y,VIX,dlog_SOLVPN,dlog_COPPER,dlog_DXY,d_UST10Y,dlog_VIX
2020-10-13,995.11,3.0445,93.536,0.729,26.07,-0.004901995,-0.006384568,0.004629241,-0.035,0.039113316
2020-10-14,981.9,3.0505,93.366,0.727,26.4,-0.013363814,0.001968828,-0.001819136,-0.002,0.012578782
2020-10-15,981.37,3.0855,93.864,0.739,26.97,-0.000539916,0.011408207,0.005319673,0.012,0.021361127
2020-10-16,986.19,3.0675,93.679,0.749,27.41,0.004899479,-0.005850821,-0.001972882,0.01,0.016182773
2020-10-19,981.23,3.086,93.429,0.772,29.18,-0.005042147,0.006012856,-0.002672255,0.023,0.062575633
2020-10-20,982.46,3.148,93.051,0.786,29.35,0.001252744,0.019891577,-0.00405406,0.014,0.005809003
2020-10-21,982,3.1985,92.599,0.821,28.65,-0.000468322,0.015914619,-0.004869387,0.035,-0.024139103
2020-10-22,967.55,3.1535,92.964,0.861,28.11,-0.014824205,-0.014169003,0.003933979,0.04,-0.019028058
2020-10-23,968.39,3.129,92.765,0.841,27.55,0.000867796,-0.007799482,-0.002142908,-0.02,-0.020122849
2020-10-26,965.58,3.0895,93.044,0.803,32.46,-0.002905942,-0.012704199,0.003003086,-0.038,0.164006026
2020-10-27,959.25,3.0935,92.927,0.771,33.35,-0.006577228,0.00129387,-0.001258261,-0.032,0.02704921
2020-10-28,937.41,3.064,93.409,0.774,40.28,-0.023030976,-0.009581884,0.005173462,0.003,0.188797295
2020-10-29,936.67,3.06,93.977,0.831,37.59,-0.000789721,-0.001306336,0.006062371,0.057,-0.06911701
2020-10-30,922.54,3.0515,94.042,0.874,38.02,-0.015200297,-0.002781643,0.00069142,0.043,0.011374279
2020-11-02,931.45,3.081,94.145,0.852,37.13,0.009611776,0.009620947,0.001094656,-0.022,-0.023687069
2020-11-03,944.82,3.0935,93.56,0.896,35.55,0.014251921,0.004048916,-0.006233205,0.044,-0.043485112
2020-11-04,968.24,3.1095,93.411,0.771,29.57,0.024485557,0.005158806,-0.00159383,-0.125,-0.184179822
2020-11-05,983.68,3.1135,92.516,0.766,27.58,0.01582065,0.001285554,-0.009627509,-0.005,-0.069669461
2020-11-06,993.95,3.157,92.225,0.82,24.86,0.010386263,0.013874714,-0.003150359,0.054,-0.103830786
2020-11-09,963.54,3.1595,92.715,0.924,25.75,-0.031072901,0.000791578,0.005299028,0.104,0.035174541
2020-11-10,938.95,3.1595,92.736,0.96,24.8,-0.025851773,0,0.000226475,0.036,-0.037590974
2020-11-11,965.62,3.1375,93.024,0.977,23.45,0.028008152,-0.006987483,0.003100778,0.017,-0.055973158
2020-11-12,968.11,3.148,92.956,0.883,25.35,0.002575335,0.003341026,-0.000731261,-0.094,0.077908235
2020-11-13,977.61,3.1805,92.75,0.898,23.1,0.0097651,0.010271087,-0.002218561,0.015,-0.092946113
2020-11-16,972.27,3.225,92.63,0.911,22.45,-0.005477274,0.013894533,-0.001294638,0.013,-0.028542003
2020-11-17,967.79,3.203,92.398,0.862,22.71,-0.004618422,-0.00684508,-0.00250773,-0.049,0.011514742
2020-11-18,966.47,3.2035,92.311,0.87,23.84,-0.001364863,0.000156091,-0.000942022,0.008,0.048559486
2020-11-19,967.46,3.2085,92.284,0.842,23.11,0.001023822,0.001559576,-0.000292532,-0.028,-0.031099418
2020-11-20,960.51,3.2975,92.395,0.824,23.7,-0.007209687,0.027361067,0.001202086,-0.018,0.025209624
2020-11-23,955.72,3.265,92.494,0.859,22.66,-0.00499941,-0.009904843,0.001070913,0.035,-0.044873793
2020-11-24,946.9,3.3075,92.22,0.885,21.64,-0.009271492,0.012932854,-0.002966751,0.026,-0.046057802
2020-11-25,953.69,3.318,91.966,0.882,21.25,0.00714518,0.003169575,-0.002758083,-0.003,-0.018186559
2020-11-26,954.24,3.3478,91.966,0.859,21.25,0.000576541,0.008941222,0,-0.023,0
2020-11-27,964.47,3.412,91.801,0.842,20.84,0.010663516,0.018995216,-0.001795753,-0.017,-0.019482678
2020-11-30,957.7,3.4335,91.858,0.842,20.57,-0.007044151,0.006281519,0.000620716,0,-0.013040513
2020-12-01,971.36,3.48,91.297,0.929,20.77,0.014162575,0.013452145,-0.006125978,0.087,0.009675934
2020-12-02,958.51,3.4845,91.115,0.938,21.17,-0.013317156,0.001292268,-0.001995483,0.009,0.019075447
2020-12-03,960.93,3.4865,90.718,0.911,21.28,0.00252157,0.000573806,-0.004366651,-0.027,0.005182579
2020-12-04,974.08,3.521,90.694,0.973,20.79,0.01359187,0.009846672,-0.000264591,0.062,-0.023295563
2020-12-07,968.28,3.514,90.789,0.928,21.3,-0.005972134,-0.00199005,0.00104693,-0.045,0.024234971
2020-12-08,965.93,3.4965,90.968,0.921,20.68,-0.002429934,-0.004992522,0.001969663,-0.007,-0.029540023
2020-12-09,947.25,3.5105,91.083,0.938,22.27,-0.019528318,0.003996009,0.001263382,0.017,0.074073432
2020-12-10,949.15,3.5725,90.82,0.906,22.52,0.002003797,0.017507153,-0.002891653,-0.032,0.011163322
2020-12-11,948.67,3.526,90.97,0.896,23.31,-0.000505844,-0.013101547,0.001650256,-0.01,0.03447865
2020-12-14,948.09,3.524,90.731,0.898,24.72,-0.000611569,-0.000567376,-0.002630697,0.002,0.05873018
2020-12-15,950.46,3.542,90.409,0.911,22.89,0.002496643,0.005094831,-0.003555265,0.013,-0.076912499
2020-12-16,952.73,3.5575,90.359,0.92,22.5,0.00238547,0.004366512,-0.000553195,0.009,-0.017184825
2020-12-17,974.39,3.6,89.741,0.935,21.93,0.022480087,0.011875794,-0.006862881,0.015,-0.025659747
2020-12-18,969.88,3.63,89.953,0.945,21.57,-0.004639282,0.008298803,0.002359568,0.01,-0.016552102
2020-12-21,965.8,3.5755,89.949,0.938,25.16,-0.004215579,-0.015127622,-4.45E-05,-0.007,0.153951971
2020-12-22,972.18,3.519,90.546,0.921,24.23,0.006584199,-0.015928168,0.006615166,-0.017,-0.037663897
2020-12-23,967.5,3.555,90.34,0.945,23.31,-0.004825548,0.010178205,-0.002277679,0.024,-0.038709082
2020-12-24,970.02,3.5615,90.25,0.926,21.53,0.002601265,0.001826741,-0.000996733,-0.019,-0.079435142
2020-12-28,976.72,3.57,90.275,0.923,21.7,0.00688333,0.002383791,0.00027697,-0.003,0.007864949
2020-12-29,975.18,3.5535,89.918,0.94,23.08,-0.00157795,-0.004632563,-0.003962423,0.017,0.061654181
2020-12-30,981.41,3.549,89.649,0.926,22.77,0.006368244,-0.00126716,-0.002996098,-0.014,-0.013522562
2020-12-31,994.16,3.519,89.894,0.916,22.75,0.012907846,-0.008489015,0.002729153,-0.01,-0.000878735
2021-01-04,974.28,3.5545,89.845,0.918,26.97,-0.020199423,0.010037548,-0.000545235,0.002,0.170159992
2021-01-05,979.82,3.6395,89.409,0.955,25.34,0.005670145,0.023631903,-0.004864615,0.037,-0.062340962
2021-01-06,960.89,3.6505,89.502,1.039,25.07,-0.019508943,0.003017835,0.001039623,0.084,-0.010712263
2021-01-07,972.68,3.696,89.791,1.081,22.37,0.01219521,0.012387009,0.003223776,0.042,-0.113951137
2021-01-08,981.78,3.6735,90.068,1.119,21.56,0.009312102,-0.006106268,0.003080193,0.038,-0.036881029
2021-01-11,973.58,3.5645,90.442,1.144,24.08,-0.008387252,-0.030121095,0.004143821,0.025,0.110541874
2021-01-12,972.08,3.6055,90.064,1.129,23.33,-0.001541894,0.011436666,-0.004188233,-0.015,-0.031641534
2021-01-13,979.67,3.617,90.334,1.092,22.21,0.007777675,0.003184496,0.002993384,-0.037,-0.049197448
2021-01-14,984.72,3.6645,90.215,1.129,23.25,0.005141557,0.013046947,-0.001318202,0.037,0.045762494
2021-01-15,994.23,3.602,90.754,1.087,24.34,0.009611231,-0.017202654,0.005956839,-0.042,0.045815956
2021-01-19,1010.81,3.6335,90.476,1.092,23.24,0.0165387,0.008707124,-0.003067927,0.005,-0.046246156
2021-01-20,1019.92,3.6415,90.469,1.077,21.58,0.008972203,0.002199314,-7.74E-05,-0.015,-0.074107972
2021-01-21,1022.39,3.6475,90.127,1.109,21.32,0.002418831,0.001646317,-0.003787464,0.032,-0.012121361
2021-01-22,1022.31,3.626,90.212,1.086,21.91,-7.83E-05,-0.005911889,0.000942669,-0.023,0.027297554
2021-01-25,1030.65,3.6295,90.373,1.033,23.19,0.008124899,0.000964785,0.001783094,-0.053,0.056777998
2021-01-26,1034.85,3.6195,90.148,1.033,23.02,0.004066818,-0.002759003,-0.002492786,0,-0.007357748
2021-01-27,1016.7,3.5575,90.64,1.013,37.21,-0.0176944,-0.017277844,0.005442853,-0.02,0.480214139
2021-01-28,1013.15,3.58,90.427,1.052,30.21,-0.003497799,0.006304749,-0.002352721,0.039,-0.208404547
2021-01-29,1014.52,3.558,90.569,1.071,33.09,0.001351305,-0.006164211,0.001569096,0.019,0.091058127
2021-02-01,1045.36,3.5455,90.975,1.079,30.24,0.029945729,-0.003519395,0.004472752,0.008,-0.090065571
2021-02-02,1053.54,3.5245,91.189,1.095,25.56,0.007794599,-0.005940612,0.002349532,0.016,-0.168136922
2021-02-03,1042.7,3.5655,91.148,1.139,22.91,-0.010342419,0.011565714,-0.000449717,0.044,-0.109455133
2021-02-04,1035.7,3.555,91.52,1.136,21.77,-0.006735976,-0.002949233,0.004072969,-0.003,-0.051040621
2021-02-05,1039.92,3.627,91.032,1.169,20.87,0.004066261,0.020050797,-0.005346435,0.033,-0.042220154
2021-02-08,1043.92,3.6665,90.919,1.176,21.24,0.003839071,0.010831668,-0.001242093,0.007,0.017573475
2021-02-09,1047.04,3.719,90.429,1.16,21.63,0.002984277,0.014217286,-0.005403988,-0.016,0.018195044
2021-02-10,1048.12,3.773,90.363,1.124,21.99,0.001030948,0.014415626,-0.000730121,-0.036,0.016506565
2021-02-11,1037.86,3.7735,90.413,1.165,21.25,-0.009837182,0.000132512,0.000553171,0.041,-0.034230909
2021-02-12,1035.82,3.7875,90.47,1.21,19.97,-0.001967517,0.003703218,0.000630242,0.045,-0.062125748
2021-02-16,1023.53,3.8345,90.503,1.311,21.46,-0.011935947,0.012332877,0.000364695,0.101,0.07195959
2021-02-17,1026.49,3.8235,90.949,1.282,21.5,0.002887779,-0.002872815,0.004915911,-0.029,0.001862198
2021-02-18,1027.74,3.905,90.6,1.297,22.49,0.001217001,0.02109155,-0.003844697,0.015,0.045017831
2021-02-19,1029.22,4.077,90.363,1.34,22.05,0.001439017,0.043103641,-0.002619321,0.043,-0.019758164
2021-02-22,1013.07,4.1465,89.999,1.369,23.45,-0.015815909,0.016903181,-0.004036332,0.029,0.061557893
2021-02-23,1003.79,4.185,90.167,1.343,23.11,-0.009202489,0.009242099,0.001864947,-0.026,-0.014605071
2021-02-24,999.87,4.3015,90.17,1.372,21.34,-0.003912844,0.027457095,3.33E-05,0.029,-0.079682178
2021-02-25,992.42,4.2635,90.135,1.53,28.89,-0.007478866,-0.00887338,-0.000388231,0.158,0.302912269
2021-02-26,985.85,4.0925,90.882,1.407,27.95,-0.006642192,-0.040934389,0.008253415,-0.123,-0.033078315
2021-03-01,984.76,4.113,91.036,1.426,23.35,-0.001106257,0.004996659,0.001693071,0.019,-0.179820215
2021-03-02,965.54,4.222,90.79,1.398,24.1,-0.019710426,0.02615626,-0.002705885,-0.028,0.031614856
2021-03-03,937.13,4.142,90.942,1.484,26.67,-0.029865517,-0.019130186,0.001672793,0.086,0.101327498
2021-03-04,922.57,3.9785,91.644,1.557,28.57,-0.015658759,-0.040273899,0.007689565,0.073,0.068817878
2021-03-05,933.52,4.0755,91.99,1.577,24.66,0.011799134,0.024088575,0.00376837,0.02,-0.147174719
2021-03-08,917.36,4.093,92.334,1.603,25.47,-0.017462408,0.004284759,0.003732562,0.026,0.032318791
2021-03-09,941.47,4.0085,91.964,1.528,24.03,0.025942504,-0.020861091,-0.004015242,-0.075,-0.058198239
2021-03-10,943.12,4.0325,91.828,1.521,22.56,0.001751044,0.005969425,-0.001479934,-0.007,-0.063124623
2021-03-11,965.74,4.139,91.418,1.535,21.91,0.023701119,0.026067682,-0.004474866,0.014,-0.029235273
2021-03-12,971.79,4.14,91.678,1.625,20.69,0.006245085,0.000241575,0.002840042,0.09,-0.057292662
2021-03-15,981.89,4.1405,91.852,1.607,20.03,0.010339554,0.000120766,0.001896148,-0.018,-0.032419342
2021-03-16,990.4,4.0715,91.88,1.621,19.79,0.008629616,-0.016805072,0.000304792,0.014,-0.01205439
2021-03-17,986.55,4.119,91.435,1.646,19.23,-0.003894894,0.011598934,-0.00485504,0.025,-0.0287052
2021-03-18,975.97,4.108,91.87,1.706,21.58,-0.01078216,-0.002674123,0.004746197,0.06,0.1152954
2021-03-19,977.41,4.113,91.925,1.73,20.95,0.001474368,0.001216397,0.000598493,0.024,-0.029628313
2021-03-22,989.1,4.1395,91.741,1.695,18.88,0.011889223,0.006422318,-0.002003638,-0.035,-0.104035486
2021-03-23,992.69,4.0795,92.347,1.622,20.3,0.003622991,-0.014600576,0.006583832,-0.073,0.072517725
2021-03-24,974.59,4.064,92.53,1.614,21.2,-0.01840156,-0.003806722,0.001979695,-0.008,0.043380296
2021-03-25,975.06,3.978,92.826,1.633,19.81,0.000482138,-0.02138853,0.003193857,0.019,-0.067814321
2021-03-26,1003.11,4.068,92.775,1.674,18.86,0.028361445,0.022372298,-0.000549566,0.041,-0.049143584
2021-03-29,1005.53,4.0345,92.956,1.717,20.74,0.002409592,-0.0082691,0.001949056,0.043,0.095020926
2021-03-30,995.39,3.982,93.321,1.71,19.61,-0.010135425,-0.013098173,0.0039189,-0.007,-0.056024563
2021-03-31,1001.04,4,93.236,1.744,19.4,0.005660118,0.004510155,-0.00091125,0.034,-0.010766574
2021-04-01,1018.39,3.994,92.947,1.673,17.33,0.017183489,-0.001501126,-0.003104475,-0.071,-0.112833962
2021-04-05,1029.57,4.1395,92.595,1.707,17.91,0.01091829,0.035781773,-0.003794294,0.034,0.032920112
2021-04-06,1028.86,4.118,92.348,1.658,18.12,-0.000689846,-0.005207399,-0.002671095,-0.049,0.011657085
2021-04-07,1021.8,4.0575,92.472,1.679,17.16,-0.006885615,-0.014800588,0.001341846,0.021,-0.054435207
2021-04-08,1019.61,4.099,92.069,1.626,16.95,-0.002145577,0.010176021,-0.0043676,-0.053,-0.01231326
2021-04-09,1019.91,4.0445,92.16,1.662,16.69,0.000294187,-0.013385108,0.000987901,0.036,-0.015458096
2021-04-12,1024.3,4.0225,92.144,1.669,16.91,0.004295064,-0.005454334,-0.000173626,0.007,0.013095425
2021-04-13,1032.34,4.0365,91.844,1.62,16.65,0.007818618,0.00347438,-0.003261085,-0.049,-0.015494946
2021-04-14,1023.59,4.1315,91.674,1.634,16.99,-0.008512014,0.023262557,-0.00185268,0.014,0.020214719
2021-04-15,1044.36,4.223,91.618,1.574,16.57,0.020088202,0.021905239,-0.000611047,-0.06,-0.025031104
2021-04-16,1043.1,4.172,91.544,1.59,16.25,-0.001207209,-0.012150239,-0.000808028,0.016,-0.019500923
2021-04-19,1047.46,4.243,91.05,1.61,17.29,0.004171137,0.016875029,-0.005410925,0.02,0.062035391
2021-04-20,1056.45,4.219,91.227,1.566,18.68,0.008546045,-0.005672433,0.0019421,-0.044,0.077325133
2021-04-21,1058.11,4.2845,91.129,1.559,17.5,0.001570067,0.015405726,-0.001074821,-0.007,-0.065252552
2021-04-22,1050.93,4.278,91.321,1.542,18.71,-0.006808811,-0.001518248,0.002104687,-0.017,0.066857259
2021-04-23,1061.57,4.34,90.839,1.559,17.33,0.010073458,0.014388737,-0.005292063,0.017,-0.076619037
2021-04-26,1064.64,4.443,90.78,1.568,17.64,0.002887769,0.023455476,-0.000649712,0.009,0.017729947
2021-04-27,1062.56,4.487,90.892,1.625,17.56,-0.001955623,0.009854503,0.001232991,0.057,-0.004545462
2021-04-28,1057.06,4.498,90.593,1.611,17.28,-0.005189621,0.002448527,-0.003295041,-0.014,-0.016073825
2021-04-29,1055.01,4.4865,90.593,1.641,17.61,-0.001941224,-0.002559966,0,0.03,0.018917159
2021-04-30,1064.25,4.468,91.27,1.626,18.61,0.00872008,-0.004132007,0.007445199,-0.015,0.055232148
2021-05-03,1048.23,4.5285,90.927,1.599,18.31,-0.015167298,0.013449878,-0.00376516,-0.027,-0.016251712
2021-05-04,1036.04,4.5215,91.275,1.591,19.48,-0.011697274,-0.001546962,0.003819941,-0.008,0.06194094
2021-05-05,1028.09,4.524,91.293,1.571,19.15,-0.007703041,0.000552761,0.000197187,-0.02,-0.017085583
2021-05-06,1020.78,4.6025,90.936,1.57,18.39,-0.007135671,0.017203076,-0.003918152,-0.001,-0.040495677
2021-05-07,1034.6,4.7485,90.216,1.579,16.69,0.013447838,0.031229145,-0.007949167,0.009,-0.096997301
2021-05-10,1028.14,4.716,90.185,1.604,19.66,-0.006263534,-0.006867796,-0.000343679,0.025,0.163776377
2021-05-11,1020.53,4.762,90.124,1.622,21.84,-0.007429244,0.009706765,-0.000676616,0.018,0.105157036
2021-05-12,1002.16,4.736,90.686,1.693,27.59,-0.01816443,-0.00547485,0.00621649,0.071,0.233710237
2021-05-13,1004.58,4.6905,90.735,1.659,23.13,0.002411873,-0.009653711,0.00054018,-0.034,-0.176322912
2021-05-14,1020.65,4.6545,90.318,1.635,18.81,0.015870136,-0.007704693,-0.004606394,-0.024,-0.206741833
2021-05-17,1018.56,4.7115,90.142,1.652,19.72,-0.002049814,0.012171835,-0.001950571,0.017,0.047244706
2021-05-18,1026.83,4.7255,89.734,1.64,21.34,0.008086521,0.002967047,-0.004536466,-0.012,0.078949897
2021-05-19,1025.33,4.5765,90.191,1.676,22.18,-0.001461875,-0.032038862,0.005079905,0.036,0.038607736
2021-05-20,1034.41,4.568,89.795,1.628,20.67,0.008816704,-0.001859041,-0.004400349,-0.048,-0.070507608
2021-05-21,1031.97,4.481,90.005,1.623,20.15,-0.002361619,-0.019229237,0.00233593,-0.005,-0.025479085
2021-05-24,1038.81,4.5255,89.838,1.603,18.4,0.00660623,0.009881832,-0.001857176,-0.02,-0.090853624
2021-05-25,1045.05,4.5065,89.628,1.56,18.84,0.005988904,-0.004207269,-0.002340277,-0.043,0.023631605
2021-05-26,1049.14,4.5295,90.03,1.581,17.36,0.00390605,0.005090759,0.004475177,0.021,-0.08181356
2021-05-27,1047.99,4.666,89.959,1.606,16.74,-0.001096737,0.029690615,-0.000788937,0.025,-0.036367644
2021-05-28,1053.74,4.681,89.993,1.581,16.76,0.005471697,0.003209589,0.000377879,-0.025,0.00119403
2021-06-01,1061.66,4.6565,89.819,1.606,17.9,0.007487981,-0.005247669,-0.001935355,0.025,0.065805618
2021-06-02,1077.21,4.595,89.901,1.589,17.48,0.014540644,-0.013295337,0.000912531,-0.017,-0.023743343
2021-06-03,1079.79,4.4665,90.501,1.625,18.04,0.002392213,-0.028363652,0.006651835,0.036,0.031534144
2021-06-04,1087.76,4.5315,90.133,1.557,16.42,0.007353958,0.014447906,-0.004074543,-0.068,-0.094091411
2021-06-07,1106.71,4.5295,89.946,1.569,16.42,0.017271114,-0.000441452,-0.002076867,0.012,0
2021-06-08,1111.93,4.559,90.076,1.538,17.07,0.004705594,0.006491743,0.001444268,-0.031,0.038822433
2021-06-09,1112.96,4.5345,90.121,1.492,17.89,0.000925889,-0.005388477,0.000499453,-0.046,0.046919361
2021-06-10,1126.28,4.489,90.078,1.437,16.1,0.011897034,-0.010084864,-0.00047725,-0.055,-0.105422626
2021-06-11,1118.16,4.5415,90.55,1.454,15.65,-0.007235689,0.011627394,0.005226223,0.017,-0.028348355
2021-06-14,1126.4,4.531,90.475,1.497,16.39,0.007342229,-0.002314688,-0.000828615,0.043,0.046200476
2021-06-15,1117.61,4.3375,90.502,1.489,17.02,-0.00783423,-0.04364452,0.00029838,-0.008,0.03771773
2021-06-16,1106.08,4.3885,91.208,1.581,18.15,-0.010370243,0.011689338,0.007770663,0.092,0.064281438
2021-06-17,1109.64,4.1825,91.873,1.511,17.75,0.003213405,-0.048078329,0.007264576,-0.07,-0.022285045
2021-06-18,1104.58,4.1615,92.209,1.443,20.7,-0.004570466,-0.005033568,0.003650551,-0.068,0.153748184
2021-06-21,1105.9,4.1845,91.881,1.497,17.89,0.001194311,0.005511636,-0.003563478,0.054,-0.145891803
2021-06-22,1104.32,4.2245,91.751,1.467,16.66,-0.001429722,0.009513688,-0.001415875,-0.03,-0.071231261
2021-06-23,1098.71,4.3265,91.785,1.485,16.32,-0.005092997,0.02385799,0.0003705,0.018,-0.020619287
2021-06-24,1094.17,4.307,91.795,1.499,15.97,-0.004140679,-0.004517295,0.000108944,0.014,-0.021679387
2021-06-25,1102.91,4.2905,91.844,1.524,15.62,0.007956056,-0.00383833,0.000533656,0.025,-0.022159818
2021-06-28,1112.48,4.28,91.876,1.482,15.76,0.008639616,-0.002450267,0.000348356,-0.042,0.00892294
2021-06-29,1113.23,4.2645,92.041,1.475,16.02,0.000673942,-0.003628069,0.001794288,-0.007,0.016362857
2021-06-30,1108.8,4.289,92.431,1.468,15.83,-0.00398735,0.005728665,0.00422829,-0.007,-0.011931068
2021-07-01,1101.91,4.236,92.594,1.459,15.48,-0.006233312,-0.012434178,0.001761925,-0.009,-0.022358006
2021-07-02,1107.68,4.276,92.413,1.431,15.07,0.0052227,0.009398565,-0.001956683,-0.028,-0.026842856
2021-07-06,1121.51,4.251,92.543,1.352,16.44,0.012408254,-0.005863744,0.00140574,-0.079,0.087011377
2021-07-07,1122.03,4.3225,92.645,1.323,16.2,0.000463553,0.016679689,0.001101583,-0.029,-0.014706147
2021-07-08,1117.6,4.2645,92.406,1.294,19,-0.003956016,-0.013508998,-0.002583073,-0.029,0.159427737
2021-07-09,1123.01,4.3455,92.116,1.361,16.18,0.004829051,0.018815886,-0.003143259,0.067,-0.160663068
2021-07-12,1130.67,4.316,92.256,1.368,16.17,0.006797797,-0.006811779,0.001518669,0.007,-0.000618238
2021-07-13,1124.62,4.307,92.759,1.418,17.12,-0.005365177,-0.002087441,0.00543741,0.05,0.057089697
2021-07-14,1128.17,4.2675,92.405,1.349,16.33,0.00315165,-0.00921343,-0.003823642,-0.069,-0.047243464
2021-07-15,1124.81,4.323,92.631,1.301,17.01,-0.002982718,0.01292143,0.002442769,-0.048,0.040797499
2021-07-16,1123.02,4.323,92.687,1.3,18.45,-0.001592647,0,0.000604367,-0.001,0.081262964
2021-07-19,1117.6,4.2015,92.9,1.199,22.5,-0.004837956,-0.028508001,0.00229542,-0.101,0.198450939
2021-07-20,1123.13,4.263,92.979,1.222,19.73,0.004935901,0.014531533,0.000850015,0.023,-0.131374989
2021-07-21,1116.71,4.272,92.759,1.292,17.91,-0.005732568,0.002108964,-0.002368929,0.07,-0.096781104
2021-07-22,1108.97,4.3375,92.83,1.277,17.69,-0.006955206,0.015216044,0.000765132,-0.015,-0.012359708
2021-07-23,1112.86,4.4,92.928,1.281,17.2,0.003501622,0.014306396,0.001055136,0.004,-0.028090124
2021-07-26,1109.82,4.585,92.651,1.295,17.58,-0.002735438,0.041185565,-0.002985254,0.014,0.021852508
2021-07-27,1110.07,4.5445,92.436,1.239,19.36,0.000225236,-0.008872395,-0.002323233,-0.056,0.09644719
2021-07-28,1113.07,4.482,92.317,1.238,18.31,0.002698887,-0.013848335,-0.001288207,-0.001,-0.055761723
2021-07-29,1101.98,4.5075,91.871,1.266,17.7,-0.010013402,0.005673301,-0.004842887,0.028,-0.033882719
2021-07-30,1114.6,4.4655,92.188,1.226,18.24,0.011387034,-0.009361486,0.003444551,-0.04,0.030052345
2021-08-02,1121.12,4.418,92.065,1.179,19.46,0.005832589,-0.010694085,-0.001335121,-0.047,0.064744092
2021-08-03,1124.84,4.3755,92.088,1.174,18.04,0.003312618,-0.009666306,0.000249792,-0.005,-0.075769562
2021-08-04,1133.2,4.3215,92.274,1.18,17.97,0.007404686,-0.012418235,0.00201777,0.006,-0.003887814
2021-08-05,1130.12,4.334,92.252,1.225,17.28,-0.002721667,0.002888339,-0.000238449,0.045,-0.039153937
2021-08-06,1136.1,4.339,92.8,1.305,16.15,0.005277523,0.001153004,0.005922677,0.08,-0.067629714
2021-08-09,1132.02,4.282,92.938,1.325,16.72,-0.003597697,-0.013223717,0.001485964,0.02,0.034685558
2021-08-10,1116.81,4.346,93.055,1.354,16.79,-0.01352724,0.014835692,0.001258112,0.029,0.004177863
2021-08-11,1120.81,4.36,92.918,1.335,16.06,0.003575231,0.003216176,-0.001473332,-0.019,-0.044451763
2021-08-12,1125.02,4.35,93.038,1.361,15.59,0.003749175,-0.002296212,0.001290628,0.026,-0.029702025
2021-08-13,1127.78,4.3825,92.512,1.283,15.45,0.002450285,0.007443493,-0.005669646,-0.078,-0.00902068
2021-08-16,1128.13,4.32,92.619,1.268,16.12,0.000310296,-0.014363936,0.001155938,-0.015,0.042451734
2021-08-17,1125.53,4.2015,93.145,1.267,17.91,-0.002307359,-0.027813798,0.005663115,-0.001,0.105298479
2021-08-18,1115.34,4.117,93.144,1.26,21.57,-0.009094745,-0.020316862,-1.07E-05,-0.007,0.185944244
2021-08-19,1125.37,4.0405,93.588,1.243,21.67,0.008952579,-0.018756296,0.004755487,-0.017,0.004625355
2021-08-20,1130.59,4.1255,93.508,1.255,18.56,0.00462775,0.020818778,-0.000855176,0.012,-0.154920088
2021-08-23,1136.68,4.221,92.971,1.253,17.15,0.005372112,0.022884842,-0.005759378,-0.002,-0.079010554
2021-08-24,1130.38,4.26,92.901,1.297,17.22,-0.005557873,0.009197093,-0.000753207,0.044,0.004073325
2021-08-25,1126.74,4.27,92.832,1.349,16.79,-0.003225352,0.002344667,-0.000743002,0.052,-0.025288028
2021-08-26,1128.26,4.252,93.078,1.354,18.84,0.001348116,-0.004224367,0.002646443,0.005,0.115198798
2021-08-27,1126.72,4.3235,92.694,1.31,16.39,-0.001365866,0.016675799,-0.004134106,-0.044,-0.139310876
2021-08-30,1146.15,4.371,92.652,1.28,16.19,0.017097743,0.010926556,-0.000453206,-0.03,-0.012277625
2021-08-31,1154.46,4.37,92.635,1.307,16.48,0.007224202,-0.000228807,-0.000183499,0.027,0.017753757
2021-09-01,1175.81,4.274,92.449,1.299,16.11,0.01832457,-0.022212852,-0.002009899,-0.008,-0.022707327
2021-09-02,1182.85,4.2995,92.228,1.285,16.41,0.005969509,0.00594858,-0.002393369,-0.014,0.018450708
2021-09-03,1191.71,4.331,92.033,1.326,16.41,0.00746247,0.007299725,-0.002116564,0.041,0
2021-09-07,1184.28,4.2795,92.514,1.377,18.14,-0.006254255,-0.011962282,0.005212776,0.051,0.10022854
2021-09-08,1182.56,4.2325,92.65,1.336,17.96,-0.001453415,-0.011043345,0.001468968,-0.041,-0.009972382
2021-09-09,1160.61,4.284,92.48,1.297,18.8,-0.018735851,0.012094318,-0.001836548,-0.039,0.045709807
2021-09-10,1149.63,4.45,92.59,1.343,20.95,-0.009505577,0.038016944,0.00118874,0.046,0.108281777
2021-09-13,1148.01,4.365,92.652,1.326,19.37,-0.001410143,-0.019285907,0.000669395,-0.017,-0.078413169
2021-09-14,1147.71,4.319,92.614,1.284,19.46,-0.000261356,-0.010594295,-0.000410221,-0.042,0.004635599
2021-09-15,1148.68,4.404,92.534,1.304,18.18,0.000844804,0.019489325,-0.000864174,0.02,-0.068038988
2021-09-16,1150.55,4.28,92.919,1.336,18.69,0.001626632,-0.028560209,0.004152001,0.032,0.027666533
2021-09-17,1151.31,4.2445,93.176,1.363,20.81,0.000660336,-0.008328982,0.002762032,0.027,0.107445019
2021-09-20,1134.75,4.1135,93.256,1.312,25.71,-0.014488062,-0.03134978,0.000858222,-0.051,0.211446381
2021-09-21,1136.89,4.126,93.2,1.328,24.36,0.001884102,0.003034167,-0.000600678,0.016,-0.053937578
